Country,URL,Year,NumAuth,Agency,ReportSeries,Title,FirstAuthor,AllAuthors,Citation
New Zealand,,1988,2,MoF,Research Papers,Groper,"Davies, N.M.",,"Davies, N.M. (et al.?) 1988 Groper"
New Zealand,,1988,2,MoF,Research Papers,Hoki,"Livingston, M.E.",,"Livingston, M.E. (et al.?) 1988 Hoki"
New Zealand,,1988,2,MoF,Research Papers,Results of 1987 hoki surveys of Hokitika Canyon and Cook Strait Canyon,"Ball, A. G.",,"Ball, A. G. (et al.?) 1988 Results of 1987 hoki surveys of Hokitika Canyon and Cook Strait Canyon"
New Zealand,,1988,2,MoF,Research Papers,Assessment of the west coast South Island and northern North Island orange roughy fisheries,"Clark, M.R.",,"Clark, M.R. (et al.?) 1988 Assessment of the west coast South Island and northern North Island orange roughy fisheries"
New Zealand,,1988,2,MoF,Research Papers,Snapper,"Paul, L.J.",,"Paul, L.J. (et al.?) 1988 Snapper"
New Zealand,,1988,2,MoF,Research Papers,Arrow squid,"Colman, J. A.",,"Colman, J. A. (et al.?) 1988 Arrow squid"
New Zealand,,1988,2,MoF,Research Papers,Assessment of the Chatham Rise orange roughy fishery for 1987/88,"Mace, P. M.",,"Mace, P. M. (et al.?) 1988 Assessment of the Chatham Rise orange roughy fishery for 1987/88"
New Zealand,,1988,2,MoF,Research Papers,Biomass and yield estimate for North Chatham Rise orange roughy,"Doonan, I.J.",,"Doonan, I.J. (et al.?) 1988 Biomass and yield estimate for North Chatham Rise orange roughy"
New Zealand,,1988,3,MoF,Research Papers,Black and smooth oreos,"Banks, D. A.",,"Banks, D. A. (et al.?) 1988 Black and smooth oreos"
New Zealand,,1988,3,MoF,Research Papers,Preliminary stock size analysis: Tasman/Golden Bay snapper tagging programme,"Drummond, K. L.",,"Drummond, K. L. (et al.?) 1988 Preliminary stock size analysis: Tasman/Golden Bay snapper tagging programme"
New Zealand,,1989,1,MoF,Research Papers,Assessment of the Challenger Plateau (QMA 7A) orange roughy fishery for the 1989-90 fishing year,"Clark, M.R.",,"Clark, M.R. (et al.?) 1989 Assessment of the Challenger Plateau (QMA 7A) orange roughy fishery for the 1989-90 fishing year"
New Zealand,,1989,1,MoF,Research Papers,A standard approach to biomass estimation from bottom trawl surveys,"Francis, R.I.C.C",,"Francis, R.I.C.C (et al.?) 1989 A standard approach to biomass estimation from bottom trawl surveys"
New Zealand,,1989,1,MoF,Research Papers,"A comparison of hoki acoustic biomass estimates west coast South Island 1985 and 1988, Cook Strait 1987 and 1988","Cordue, P. L.",,"Cordue, P. L. (et al.?) 1989 A comparison of hoki acoustic biomass estimates west coast South Island 1985 and 1988, Cook Strait 1987 and 1988"
New Zealand,,1989,1,MoF,Research Papers,Rock lobster stock assessment 1989,"Breen, P.A.",,"Breen, P.A. (et al.?) 1989 Rock lobster stock assessment 1989"
New Zealand,,1989,1,MoF,Research Papers,"Orange roughy fishery assessment, Cape Runaway to Banks Peninsula - 1989","Annala, J. H.",,"Annala, J. H. (et al.?) 1989 Orange roughy fishery assessment, Cape Runaway to Banks Peninsula - 1989"
New Zealand,,1989,1,MoF,Research Papers,Flatfish fishery assessment 1989,"Kirk, P. D.",,"Kirk, P. D. (et al.?) 1989 Flatfish fishery assessment 1989"
New Zealand,,1989,1,MoF,Research Papers,Paua fishery assessment 1989,"Schiel, D. R.",,"Schiel, D. R. (et al.?) 1989 Paua fishery assessment 1989"
New Zealand,,1989,1,MoF,Research Papers,Kahawai fishery assessment 1989,"Sylvester, C. T.",,"Sylvester, C. T. (et al.?) 1989 Kahawai fishery assessment 1989"
New Zealand,,1989,2,MoF,Research Papers,Hoki stock assessment 1989,"Coombs, R. F.",,"Coombs, R. F. (et al.?) 1989 Hoki stock assessment 1989"
New Zealand,,1989,2,MoF,Research Papers,Biological reference points for New Zealand fisheries assessments,"Mace, P. M.",,"Mace, P. M. (et al.?) 1989 Biological reference points for New Zealand fisheries assessments"
New Zealand,,1989,UFO,MoF,Research Papers,Assessment of the Chatham Rise (area 3B) orange roughy fishery for the 1988-89 season,,, (et al.?) 1989 Assessment of the Chatham Rise (area 3B) orange roughy fishery for the 1988-89 season
New Zealand,,1990,1,MoF,Research Papers,"Assessment of the Cape Runaway to Banks Peninsula (QMAs 2A, 2B, and 3A) orange roughy fishery for the 1990-91 fishing year","Annala, J. H.",,"Annala, J. H. (et al.?) 1990 Assessment of the Cape Runaway to Banks Peninsula (QMAs 2A, 2B, and 3A) orange roughy fishery for the 1990-91 fishing year"
New Zealand,,1990,1,MoF,Research Papers,A maximum likelihood stock reduction method,"Francis, R.I.C.C",,"Francis, R.I.C.C (et al.?) 1990 A maximum likelihood stock reduction method"
New Zealand,,1990,1,MoF,Research Papers,"Stock structure of New Zealand hoki, Macruronus novaezelandiae","Livingston, M.E.",,"Livingston, M.E. (et al.?) 1990 Stock structure of New Zealand hoki, Macruronus novaezelandiae"
New Zealand,,1990,2,MoF,Research Papers,Revised assessment of the Challenger Plateau (QMA 7A) orange roughy fishery for the 1989-90 fishing year,"Clark, M.R.",,"Clark, M.R. (et al.?) 1990 Revised assessment of the Challenger Plateau (QMA 7A) orange roughy fishery for the 1989-90 fishing year"
New Zealand,,1990,2,MoF,Research Papers,Assessment of the Chatham Rise (QMA 3B) orange roughy fishery for the 1989/90 and 1990/91 fishing years,"Francis, R.I.C.C",,"Francis, R.I.C.C (et al.?) 1990 Assessment of the Chatham Rise (QMA 3B) orange roughy fishery for the 1989/90 and 1990/91 fishing years"
New Zealand,,1990,2,MoF,Research Papers,Hoki stock assessment 1990,"Cordue, P. L.",,"Cordue, P. L. (et al.?) 1990 Hoki stock assessment 1990"
New Zealand,,1990,2,MoF,Research Papers,"Preliminary biomass estimates of hoki and selected species from trawl surveys of Southland/Sub-Antarctic and the Chatham Rise, Oct-Dec. 1989, and comparison with previous Shinkai Maru surveys","Hurst, R.J.",,"Hurst, R.J. (et al.?) 1990 Preliminary biomass estimates of hoki and selected species from trawl surveys of Southland/Sub-Antarctic and the Chatham Rise, Oct-Dec. 1989, and comparison with previous Shinkai Maru surveys"
New Zealand,,1990,2,MoF,Research Papers,"Rock lobster stock assessment, 1990","Booth, J. D.",,"Booth, J. D. (et al.?) 1990 Rock lobster stock assessment, 1990"
New Zealand,,1991,1,MoF,Research Papers,Surplus production and simulation modelling for the red rock lobster (Jasus edwardsii) North and South Island stock,"Breen, P.A.",,"Breen, P.A. (et al.?) 1991 Surplus production and simulation modelling for the red rock lobster (Jasus edwardsii) North and South Island stock"
New Zealand,,1991,1,MoF,Research Papers,Assessment of the Challenger Plateau (ORH 7A) orange roughy fishery for the 1991-92 fishing year,"Clark, M.R.",,"Clark, M.R. (et al.?) 1991 Assessment of the Challenger Plateau (ORH 7A) orange roughy fishery for the 1991-92 fishing year"
New Zealand,,1991,1,MoF,Research Papers,"The New Zealand deepwater clams (geoducs), Panopea zelandica and P. smithae","Breen, P.A.",,"Breen, P.A. (et al.?) 1991 The New Zealand deepwater clams (geoducs), Panopea zelandica and P. smithae"
New Zealand,,1991,1,MoF,Research Papers,"Assessment of jack mackerel stocks off the central west coast, New Zealand for the 1991-92 fishing year","Horn, P.L.",,"Horn, P.L. (et al.?) 1991 Assessment of jack mackerel stocks off the central west coast, New Zealand for the 1991-92 fishing year"
New Zealand,,1991,1,MoF,Research Papers,Southern blue whiting fishery assessment for the 1991-92 fishing year,"Hanchet, S.M.",,"Hanchet, S.M. (et al.?) 1991 Southern blue whiting fishery assessment for the 1991-92 fishing year"
New Zealand,,1991,1,MoF,Research Papers,"Orange roughy fishery assessment, CPUE analysis - linear regression, NE Chatham Rise 1991","Doonan, I.J.",,"Doonan, I.J. (et al.?) 1991 Orange roughy fishery assessment, CPUE analysis - linear regression, NE Chatham Rise 1991"
New Zealand,,1991,1,MoF,Research Papers,"Hoki acoustic biomass indices for the west coast South Island 1988, 1989 and 1990","Cordue, P. L.",,"Cordue, P. L. (et al.?) 1991 Hoki acoustic biomass indices for the west coast South Island 1988, 1989 and 1990"
New Zealand,,1991,1,MoF,Research Papers,A review of the 1989-90 hoki fishery and a preliminary assessment of hoki stocks for 1991,"Sullivan, K. J.",,"Sullivan, K. J. (et al.?) 1991 A review of the 1989-90 hoki fishery and a preliminary assessment of hoki stocks for 1991"
New Zealand,,1991,1,MoF,Research Papers,"Assessment of the red rock lobster (Jasus edwardsii) North and South Island stock, November 1991","Breen, P.A.",,"Breen, P.A. (et al.?) 1991 Assessment of the red rock lobster (Jasus edwardsii) North and South Island stock, November 1991"
New Zealand,,1991,2,MoF,Research Papers,Assessment of the Chatham Rise (ORH 3B) orange roughy fishery for the 1991/92 season,"Francis, R.I.C.C",,"Francis, R.I.C.C (et al.?) 1991 Assessment of the Chatham Rise (ORH 3B) orange roughy fishery for the 1991/92 season"
New Zealand,,1991,2,MoF,Research Papers,"Assessment of the Cape Runaway to Banks Peninsula (ORH 2A, 2B, and 3A) orange roughy fishery for the 1991-92 fishing year","Annala, J. H.",,"Annala, J. H. (et al.?) 1991 Assessment of the Cape Runaway to Banks Peninsula (ORH 2A, 2B, and 3A) orange roughy fishery for the 1991-92 fishing year"
New Zealand,,1991,2,MoF,Research Papers,Biomass and yield estimates for bluenose in QMA 2 for the 1991-92 fishing year,"Ryan, M.",,"Ryan, M. (et al.?) 1991 Biomass and yield estimates for bluenose in QMA 2 for the 1991-92 fishing year"
New Zealand,,1991,2,MoF,Research Papers,Assessment of black and smooth oreos for the 1991-92 fishing year,"Hart, A.C.",,"Hart, A.C. (et al.?) 1991 Assessment of black and smooth oreos for the 1991-92 fishing year"
New Zealand,,1991,2,MoF,Research Papers,Biomass and yield estimates for alfonsino in BYX 2 for the 1991-92 fishing year,"Blackwell, R.G.",,"Blackwell, R.G. (et al.?) 1991 Biomass and yield estimates for alfonsino in BYX 2 for the 1991-92 fishing year"
New Zealand,,1991,2,MoF,Research Papers,"Preliminary biomass estimates of hoki and other main species from trawl surveys of Southland/Sub-Antarctic, Jul-Aug and Nov-Dec 1990","Hurst, R.J.",,"Hurst, R.J. (et al.?) 1991 Preliminary biomass estimates of hoki and other main species from trawl surveys of Southland/Sub-Antarctic, Jul-Aug and Nov-Dec 1990"
New Zealand,,1991,2,MoF,Research Papers,"A survey of kina populations (Evechinus chloroticus) in Dusky Sound and Chalky Inlet, southwestern New Zealand","McShane, P. E.",,"McShane, P. E. (et al.?) 1991 A survey of kina populations (Evechinus chloroticus) in Dusky Sound and Chalky Inlet, southwestern New Zealand"
New Zealand,,1991,3,MoF,Research Papers,Assessment of hake (Merluccius australis) stocks for the 1991-92 year,"Colman, J. A.",,"Colman, J. A. (et al.?) 1991 Assessment of hake (Merluccius australis) stocks for the 1991-92 year"
New Zealand,,1991,3,MoF,Research Papers,Assessment of the effects of mortality due to Bonamia on the oyster population of Foveaux Strait in 1990 and the outlook for management in 1991,"Cranfield, H. J.",,"Cranfield, H. J. (et al.?) 1991 Assessment of the effects of mortality due to Bonamia on the oyster population of Foveaux Strait in 1990 and the outlook for management in 1991"
New Zealand,,1992,1,MoF,Research Papers,Paua (Haliotis iris) fishery assessment 1992,"McShane, P. E.",,"McShane, P. E. (et al.?) 1992 Paua (Haliotis iris) fishery assessment 1992"
New Zealand,,1992,1,MoF,Research Papers,Assessment of the Challenger Plateau (ORH 7A) orange roughy fishery for the 1992-93 fishing year,"Clark, M.R.",,"Clark, M.R. (et al.?) 1992 Assessment of the Challenger Plateau (ORH 7A) orange roughy fishery for the 1992-93 fishing year"
New Zealand,,1992,1,MoF,Research Papers,Analysis of sliver warehou (Seriolella punctata) catch and effort data from the west coast South Island hoki fishery (SWA 1),"Langley, A.D.",,"Langley, A.D. (et al.?) 1992 Analysis of sliver warehou (Seriolella punctata) catch and effort data from the west coast South Island hoki fishery (SWA 1)"
New Zealand,,1992,1,MoF,Research Papers,Recommendations concerning the calculation of maximum constant yield (MCY) and current annual yield (CAY),"Francis, R.I.C.C",,"Francis, R.I.C.C (et al.?) 1992 Recommendations concerning the calculation of maximum constant yield (MCY) and current annual yield (CAY)"
New Zealand,,1992,1,MoF,Research Papers,"Catch per unit effort (CPUE) analysis of the east coast orange roughy fishery in QMA 2A, 1984-91","Field, K. D.",,"Field, K. D. (et al.?) 1992 Catch per unit effort (CPUE) analysis of the east coast orange roughy fishery in QMA 2A, 1984-91"
