Country,Comment,URL,Year,NumAuth,Agency,ReportSeries,Branch,FirstAuthor,AllAuthors,Citation,Title,Date,Vol
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0997.pdf,1997,3,Fisheries Research Services,Internal Reports,,,"Davies, I.M.; Minchin, A. & Harding, M.",,"OSPAR Working Group on Concentrations, Trends and Effects of Substances in the Marine Environment (SIME). Report on the TBT Training Workshop 24-26 September 1997. (09/97)",01/01/1997
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0198.pdf,1998,3,Fisheries Research Services,Internal Reports,,,"Howard, F.G.; Basford, D.J. & Graham, J.",,Preliminary trials to assess the viability of purifying the razor fish Ensis siliqua (L.) by depuration using ultra-violet sterilisation. (01/98),01/01/1998
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0298.pdf,1998,4,Fisheries Research Services,Internal Reports,,,"Bailey, N.; Howell, T.R.W.; Donald, J. & Davis, S.E.B.",,"Report of Marine Laboratory scallop workshop, 1997. (02/98)",01/01/1998
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0398.pdf,1998,2,Fisheries Research Services,Internal Reports,,,"Carter, T.J. & Hall, C.D.",,The effects of seismic exploration and underwater explosions on marine life: a bibliography. (03/98),01/01/1998
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0498.pdf,1998,2,Fisheries Research Services,Internal Reports,,,"Minchin, A. & Davies, I.M.",,Effect of sample handling on imposex measurement in the dogwhelk Nucella lapillus (L.). (04/98),01/01/1998
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0598.pdf,1998,2,Fisheries Research Services,Internal Reports,,,"Minchin, A. & Davies, I.M.",,Effect of freezing on penis length in Nucella lapillus (L.). (05/98),01/01/1998
Scotland,,,1998,3,Fisheries Research Services,Internal Reports,,,"Walker, A.F.; MacDonald, A.I. and Thorne, A.E.",,"The sea trout and brown trout spawning stocks of the Findhu Glen Burn, River Earn system, eastern Scotland in 1997. (06/98) [no document available]",01/01/1998
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0798.pdf,1998,7,Fisheries Research Services,Internal Reports,,,"Bailey, N.; Howell, T.R.W..; Davis, S.E.B.; Donald, J.W.; Fryer, R.; Heine, S. & Chapman, C.J.",,Survey of Solway cockle grounds 1998. (07/98),01/01/1998
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0898.pdf,1998,11,Fisheries Research Services,Internal Reports,,,"Bailey, N.; Breen, M.; Graham, N.; Howell, T.; Sangster, G.; Tuck, I.; Davis, S.; Donald, J.; Harding, M.; Kennedy, F. & Wright, P.",,A study of the effects of water jet dredging for razor clams and a stock survey of the target species in some Western Isles populations. (08/98),01/01/1998
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0998.pdf,1998,2,Fisheries Research Services,Internal Reports,,,"McKeown, S. & Hay, S.J.",,A preliminary investigation of the toxicity and sub-lethal effects of the sea lice control chemicals dichlorvos and ivermectin on survival and feeding of the marine copepod Acartia tonsa. (09/98),01/01/1998
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR1198.pdf,1998,6,Fisheries Research Services,Internal Reports,,,"Webster, L.; McIntosh, A.D.; Moffat, C.F.; Dalgarno, E.J.; Brown, N.A. & Fryer, R.J.",,"Analysis of sediments, from Shetland Island Voes, for polycyclic aromatic hydrocarbons and biomarkers. (11/98)",01/01/1998
