Name,NameShort,Domain,TopicGeneral,TopicDetail,AppType,DPScore,DVScore,GMScore,MDScore,ATScore,DocCategory,DocType,Access,Cost,Status,Program,AppURL,DocURL
SECOORA Data Portal,USCoastalData,Oceanography,Survey Data,2000+ data sets,Data Portal,5,3,0,0,0,Online Only,Org Website,Public,Free,Active,Other,https://portal.secoora.org/,https://portal.secoora.org/help/
AODN Open Access To Ocean Data,AusOceanData,Oceanography,Survey Data,400+ data sets covering 290+ variables,Data Portal,5,0,0,0,0,Online Only,Org Website,Public,Free,Active,Other,https://portal.aodn.org.au/search,https://help.aodn.org.au/
ADFG Harbor Seal Distribution,AKCookInlSeals,Fisheries,Stock Assessment,Seal distribution,Data Vis,3,5,2,1,0,Online Only,In App,Public,Free,Active,Shiny,https://jmlondon.shinyapps.io/akpv-cookinlet-app/,NA
Poisson Kootenay Lake Trout Movement,BCFishMovement,Fisheries,Stock Assessment,Acoustic tagging studies of trout,Data Vis,3,5,0,0,0,Online Only,Website,Public,Free,Active,Shiny,https://poissonconsulting.shinyapps.io/klexdatr-movement/,https://www.poissonconsulting.ca/post/2018/klexdatr/
SFG Kobe Plot,GlobalFisheryComparison,Fisheries,Stock Assessment,Fishing pressure comparison,Data Vis,5,5,0,0,0,Online Only,In App,Public,Free,Active,Shiny,https://sfg-ucsb.shinyapps.io/gfr-kobe/,NA
OofM City App,CityClimateAnalogs,Climate,Weather,Comparing projected future weather to current examples,Data Vis,3,5,0,3,0,Primary Literature,Journal Paper,Public,Free,Active,Shiny,https://fitzlab.shinyapps.io/cityapp/,https://www.nature.com/articles/s41467-019-08540-3
SeaPP North Atl Swordfish MSE,NthAtlSwordfishMSE,Fisheries,Stock Assessment,communicating management model for NthAtl Swordfish,Model Documentation,0,3,0,4,0,Online Only,Org Website,Public,Free,Active,Shiny,https://pl202.shinyapps.io/Swordfish_MSE_Vis/,http://www.seaplusplus.co.uk/shiny-app-for-mse/
Fishscape Database of Habitst Associations,FishHabAssoc,Fisheries,Stock Assessment,lit review of fish habitat associations,Data Portal,4,0,0,0,0,Primary Literature,Journal Paper,Public,Free,Active,Shiny,http://www.seascapemodels.org/fishscape/,https://onlinelibrary.wiley.com/doi/full/10.1111/faf.12318
Effect of Mangrove deforestation on carbon emissions,MangrDeforest,Climate,Carbon Emissions,estimating carbon emission increase due to mangrove deforestation,Model Documentation,2,0,0,5,1,Primary Literature,Journal Paper,Public,Free,Active,Shiny,https://seascapemodels.shinyapps.io/inst/,https://conbio.onlinelibrary.wiley.com/doi/full/10.1111/conl.12445
Ranacapa Ecosystem biodiversity from DNA,DNABioDiv,Ecosystem,Biodiversity,DNA-based biodiversity estimates,Analytical Tool,0,5,0,2,5,Primary Literature,Journal Paper,Public,Free,Active,Shiny,https://gauravsk.shinyapps.io/ranacapa/,https://f1000research.com/articles/7-1734
Hakai Institute Juvenile Salmon Surveys,BCJuvSalmonSurveys,Fisheries,Stock Assessment,Juv salmon surveys,Data Vis,3,4,0,0,0,Grey Literature,Tech Report,Public,Free,Active,Shiny,https://hecate.hakai.org/shiny/JSP/,https://hecate.hakai.org/shiny/JSP/1788Canada.pdf
FishStats Database of abundance and distribution,GlobalStockPatterns,Fisheries,Stock Assessment,Global fish stock abd and distr,Data Vis,3,4,0,0,0,Online Only,In App,Public,Free,Active,Shiny,https://james-thorson.shinyapps.io/FishViz/,NA
Diet Database Gulf of Mexico,TrophicWebsGofMex,Fisheries,Stock Assessment,Trophic webs in Gulf of Mexico,Data Vis,3,5,0,3,0,Primary Literature,Journal Paper,Public,Free,Active,Shiny,https://megumi-oshima.shinyapps.io/diet/,https://www.ingentaconnect.com/content/umrsmas/bullmar/2018/00000094/00000001/art00003
Scottish Windfarm Seabird collision risks,SeabirdCollRisk,Resource Use,Risk Assessment,Seabird wind turbine collision risk,Analytical Tool,1,2,2,5,5,Grey Literature,Tech Report,Public,Free,Active,Shiny,https://dmpstats.shinyapps.io/avian_stochcrm/,https://www2.gov.scot/Resource/0053/00536606.pdf
Fish Growth Illustration,FishGrowth,Fisheries,Physiology,Fish bioenergetics,General Model,1,1,5,1,0,Primary Literature,Text Book,Public,Free,Active,Shiny,https://bioenergetics4.shinyapps.io/bioenergetics4/,https://www.elsevier.com/books/bioenergetics/nicholls/978-0-12-388425-1
Specie sensitivity curve fitting,SpecSensChemHaz,Resource Use,Risk Assessment,Species sensitivity to chemical hazards,Analytical Tool,1,2,3,5,5,Primary Literature,Journal Paper,Public,Free,Active,Shiny,https://poissonconsulting.shinyapps.io/ssdtools/,https://joss.theoj.org/papers/10.21105/joss.01082
Farmed catfish flavor and color prediction,CatfishFlavCol,Resource Use,Management,Farmed catfish color and flavour prediction,General Model,0,1,5,2,2,Online Only,In App,Public,Free,Active,Shiny,https://obergew.shinyapps.io/WiseCatfishFarmer/,NA
Fitting Growth Equations,BaysVBGMFit,Fisheries,Physiology,Fitting Bayesian von Bertalanffy growth eq,Analytical Tool,1,1,3,5,5,Primary Literature,Journal Paper,Public,Free,Active,Shiny,https://fishecology.shinyapps.io/B-VBGM/,https://www.sciencedirect.com/science/article/abs/pii/S0165783617303168?via%3Dihub
NIOZ Algae growth model,AlgGrwth,Ecosystem,Nutrient Cycling,Generic Algae growth model,General Model,0,2,5,0,0,Online Only,In App,Public,Free,Active,Shiny,http://www.rforscience.com/teaching/chemostat/,NA
NIOZ ecosystem flow model,DINFlow,Ecosystem,Nutrient Cycling,Generic ecosystem DIN  flow model,General Model,0,2,5,0,0,Online Only,In App,Public,Free,Active,Shiny,http://www.rforscience.com/teaching/npzd/,NA
NIOZ nitrification nitrification illustration,Nitrification,Ecosystem,Nutrient Cycling,Generic nitrification illustration,General Model,0,2,5,0,0,Online Only,In App,Public,Free,Active,Shiny,http://www.rforscience.com/teaching/nitrification/,NA
NIOZ fish mgmt model,TrtCrpMgmt,Fisheries,Management,Generic Trout/Carp lake management model,General Model,0,2,5,0,0,Online Only,In App,Public,Free,Active,Shiny,http://www.rforscience.com/teaching/fishmanagement/,NA
Pacific Salmon Explorer,SalmExpl,Fisheries,Stock Assessment,Salmon population status and habitat threats,Data Vis,5,5,0,0,0,Online Only,In App,Public,Free,Active,Other,https://salmonexplorer.ca,NA
Cdn Pacific North Coast Salmon run reconstruction,SalmAbdDB,Fisheries,Stock Assessment,Salmon abundance data,Data Portal,5,2,0,0,0,Online Only,In App,Public,Free,Active,Shiny,http://shiny.lglsidney.com/ncc-salmon/,NA
British Columbia habitat data,BCHabWiz,Ecosystem,Habitat,British Columbia habitat data GIS interface,Data Portal,5,3,0,0,0,Online Only,In App,Public,Free,Active,Other,http://maps.gov.bc.ca/ess/hm/habwiz/,NA
OHI Standardized global ocean health index,OceanHealthIndex,Ecosystem,Ecosystem Properties,Global ocean health index data,Data Vis,5,5,0,0,0,Online Only,Website,Public,Free,Active,Shiny,http://www.oceanhealthindex.org/region-scores,http://www.oceanhealthindex.org/methodology
HOT-DOGS Portal to HI Ocean data,HIOceanData,Oceanography,Survey Data,Hawaii ocean time series,Data Portal,5,3,0,0,0,Online Only,Website,Public,Free,Active,Other,http://hahana.soest.hawaii.edu/hot/hot-dogs/,http://hahana.soest.hawaii.edu/hot/hot-dogs/documentation/tutorial.html
